ID,PAGE,TYPE,ITALIAN,MALAY,DOCULECT,WORD,WORD2,TOBA_BATAK_SOURCE,REMARK
1,266,word,Abbassare,Turún,NIAS,Manada,manada,,
2,266,word,Abbassare,Turún,TOBA_BATAK,Munduc,munduc,J. S. A. Van Dissel,
3,266,word,Abbassare,Turún,ENGGANO,Paúho tópo,paúho tópo,,
4,266,word,Abbastanza,Sampé,NIAS,Irugi,irugi,,
5,266,word,Abbastanza,Sampé,TOBA_BATAK,Siccop,siccop,J. S. A. Van Dissel,
6,266,word,Abbastanza,Sampé,ENGGANO,Ho abacó,ho abacó,,
7,266,word,Abbastanza (Non),Tida sampé,NIAS,Loo irugi,loo irugi,,
8,266,word,Abbastanza (Non),Tida sampé,TOBA_BATAK,Sowada siccop,sowada siccop,J. S. A. Van Dissel,
9,266,word,Abbastanza (Non),Tida sampé,ENGGANO,Chèfe iabacó,chèfe iabacó,,
10,266,word,Abitazione grande,Rúma besár,NIAS,Banúa sebúa,banúa sebúa,,
11,266,word,Abitazione grande,Rúma besár,TOBA_BATAK,Bagas na balga,bagas na balga,,
12,266,word,Abitazione grande,Rúma besár,ENGGANO,Èuba,èuba,,
13,266,word,Accanto,Decát,NIAS,Ba<i>ng</i>ái,bangái,,"GPWR--In Modigliani's table, certain sound segment(s) is italicised and through out this machine-readable form of the table I tag it for easing further computational processing."
14,266,word,Accanto,Decát,TOBA_BATAK,Giala,giala,,"GPWR--In Modigliani's table, certain sound segment(s) is italicised and through out this machine-readable form of the table I tag it for easing further computational processing."
15,266,word,Accanto,Decát,ENGGANO,Panéna,panéna,,"GPWR--In Modigliani's table, certain sound segment(s) is italicised and through out this machine-readable form of the table I tag it for easing further computational processing."
16,266,word,"Accesso , piaga",Bárah,NIAS,Fao sa,fao sa,,
17,266,word,"Accesso , piaga",Bárah,TOBA_BATAK,Cugang,cugang,,
18,266,word,"Accesso , piaga",Bárah,ENGGANO,Baro,baro,,
19,266,word,Accettare,Trimá,NIAS,Tema halo,tema halo,,
20,266,word,Accettare,Trimá,TOBA_BATAK,Mandgialo,mandgialo,J. S. A. Van Dissel,
21,266,word,Accettare,Trimá,ENGGANO,Menaá,menaá,,
22,266,word,Accomodare,Membaíchi,NIAS,Gama²,gama²,,
23,266,word,Accomodare,Membaíchi,TOBA_BATAK,Mangundgiam,mangundgiam,J. S. A. Van Dissel,
24,266,word,Accomodare,Membaíchi,ENGGANO,Paríe ecáua,paríe ecáua,,
25,266,word,Acqua,Aier,NIAS,Idáno,idáno,,
26,266,word,Acqua,Aier,TOBA_BATAK,Aec,aec,,
27,266,word,Acqua,Aier,ENGGANO,Ebò,ebò,,
28,266,word,Acqua mare,Aier laút,NIAS,,,,
29,266,word,Acqua mare,Aier laút,TOBA_BATAK,"Aec ni tao<rm=""veramente acqua di lago perchè i Toba non hanno mare"">",aec ni tao,J. S. A. Van Dissel,"<rm=""veramente acqua di lago perchè i toba non hanno mare"">"
30,266,word,Acqua mare,Aier laút,ENGGANO,Lebo²,lebo²,,
