ID	PAGE	TYPE	ITALIAN	MALAY	DOCULECT	WORD	WORD2	tokenized	transliterated	transliterated_common	TOBA_BATAK_SOURCE	REMARK
1	266	word	Abbassare	Turún	NIAS	Manada	manada	m a n a d a	m a n a d a	manada		
2	266	word	Abbassare	Turún	TOBA_BATAK	Munduc	munduc	m u n d u c	m u n d u k	munduk	J. S. A. Van Dissel	
3	266	word	Abbassare	Turún	ENGGANO	Paúho tópo	paúho tópo	p aú h o # t ó p o	p a:u h o # t o p o	pa:uho topo		
4	266	word	Abbastanza	Sampé	NIAS	Irugi	irugi	i r u gi	i r u c	iruc		
5	266	word	Abbastanza	Sampé	TOBA_BATAK	Siccop	siccop	s i cc o p	s i k o p	sikop	J. S. A. Van Dissel	
6	266	word	Abbastanza	Sampé	ENGGANO	Ho abacó	ho abacó	h o # a b a c ó	h o # a b a k o	ho abako		
7	266	word	Abbastanza (Non)	Tida sampé	NIAS	Loo irugi	loo irugi	l o o # i r u gi	l o o # i r u c	loo iruc		
8	266	word	Abbastanza (Non)	Tida sampé	TOBA_BATAK	Sowada siccop	sowada siccop	s o w a d a # s i cc o p	s o w a d a # s i k o p	sowada sikop	J. S. A. Van Dissel	
9	266	word	Abbastanza (Non)	Tida sampé	ENGGANO	Chèfe iabacó	chèfe iabacó	ch è f e # i a b a c ó	k E f e # i a b a k o	kEfe iabako		
10	266	word	Abitazione grande	Rúma besár	NIAS	Banúa sebúa	banúa sebúa	b a n ú a # s e b ú a	b a n u a # s e b u a	banua sebua		
11	266	word	Abitazione grande	Rúma besár	TOBA_BATAK	Bagas na balga	bagas na balga	b a g a s # n a # b a l g a	b a j a s # n a # b a l j a	bajas na balja		
12	266	word	Abitazione grande	Rúma besár	ENGGANO	Èuba	èuba	è u b a	E u b a	Euba		
13	266	word	Accanto	Decát	NIAS	Ba<i>ng</i>ái	bangái	b a n g á i	b a n j a i	banjai		GPWR--In Modigliani's table, certain sound segment(s) is italicised and through out this machine-readable form of the table I tag it for easing further computational processing.
14	266	word	Accanto	Decát	TOBA_BATAK	Giala	giala	gi a l a	c a l a	cala		GPWR--In Modigliani's table, certain sound segment(s) is italicised and through out this machine-readable form of the table I tag it for easing further computational processing.
15	266	word	Accanto	Decát	ENGGANO	Panéna	panéna	p a n é n a	p a n e n a	panena		GPWR--In Modigliani's table, certain sound segment(s) is italicised and through out this machine-readable form of the table I tag it for easing further computational processing.
16	266	word	Accesso , piaga	Bárah	NIAS	Fao sa	fao sa	f ao # s a	f a:o # s a	fa:o sa		
17	266	word	Accesso , piaga	Bárah	TOBA_BATAK	Cugang	cugang	c u g a n g	k u j a n j	kujanj		
18	266	word	Accesso , piaga	Bárah	ENGGANO	Baro	baro	b a r o	b a r o	baro		
19	266	word	Accettare	Trimá	NIAS	Tema halo	tema halo	t e m a # h a l o	t e m a # h a l o	tema halo		
20	266	word	Accettare	Trimá	TOBA_BATAK	Mandgialo	mandgialo	m a n d gi a l o	m a n d c a l o	mandcalo	J. S. A. Van Dissel	
21	266	word	Accettare	Trimá	ENGGANO	Menaá	menaá	m e n a á	m e n a a	menaa		
22	266	word	Accomodare	Membaíchi	NIAS	Gama²	gama²	g a m a ²	j a m a ²	jama²		
23	266	word	Accomodare	Membaíchi	TOBA_BATAK	Mangundgiam	mangundgiam	m a n g u n d gi a m	m a n j u n d c a m	manjundcam	J. S. A. Van Dissel	
24	266	word	Accomodare	Membaíchi	ENGGANO	Paríe ecáua	paríe ecáua	p a r í e # e c á u a	p a r i e # e k a u a	parie ekaua		
25	266	word	Acqua	Aier	NIAS	Idáno	idáno	i d á n o	i d a n o	idano		
26	266	word	Acqua	Aier	TOBA_BATAK	Aec	aec	ae c	a:e k	a:ek		
27	266	word	Acqua	Aier	ENGGANO	Ebò	ebò	e b ò	e b O	ebO		
28	266	word	Acqua mare	Aier laút	NIAS				⁇	⁇		
29	266	word	Acqua mare	Aier laút	TOBA_BATAK	Aec ni tao<rm=""veramente acqua di lago perchè i Toba non hanno mare"">	aec ni tao	ae c # n i # t ao	a:e k # n i # t a:o	a:ek ni ta:o	J. S. A. Van Dissel	<rm=""veramente acqua di lago perchè i toba non hanno mare"">
30	266	word	Acqua mare	Aier laút	ENGGANO	Lebo²	lebo²	l e b o ²	l e b o ²	lebo²		
31	266	word	Acqua mare	Aier laút	ENGGANO	Eué	eué	e u é	e u e	eue		
32	266	word	Acquavite	Arrác	NIAS	Sópi	sópi	s ó p i	s o p i	sopi		
33	266	word	Acquavite	Arrác	TOBA_BATAK	Tuwac<rm=""veramente vino di palma"">	tuwac	t u w a c	t u w a k	tuwak	J. S. A. Van Dissel	<rm=""veramente vino di palma"">
34	266	word	Acquavite	Arrác	ENGGANO	Minu²	minu²	m i n u ²	m i n u ²	minu²		
35	266	word	A destra	Sablá canán	NIAS	Ba gambólo	ba gambólo	b a # g a m b ó l o	b a # j a m b o l o	ba jambolo		GPWR--When in the Toba-Batak side there are two words and one is marked with asterisk, like in this line, I include the asterisk and keep including the content of the TOBA-BATAK-SOURCE.
36	266	word	A destra	Sablá canán	TOBA_BATAK	Hipas	hipas	h i p a s	h i p a s	hipas	J. S. A. Van Dissel	GPWR--When in the Toba-Batak side there are two words and one is marked with asterisk, like in this line, I include the asterisk and keep including the content of the TOBA-BATAK-SOURCE.
37	266	word	A destra	Sablá canán	TOBA_BATAK	Malo *	malo *	m a l o # *	m a l o # *	malo *	J. S. A. Van Dissel	GPWR--When in the Toba-Batak side there are two words and one is marked with asterisk, like in this line, I include the asterisk and keep including the content of the TOBA-BATAK-SOURCE.
38	266	word	A destra	Sablá canán	ENGGANO	Epeèca	epeèca	e p e è c a	e p e E k a	epeEka		GPWR--When in the Toba-Batak side there are two words and one is marked with asterisk, like in this line, I include the asterisk and keep including the content of the TOBA-BATAK-SOURCE.
39	266	word	Addio vado via	Tabé sáia pulá<i>ng</i>	NIAS				⁇	⁇		
40	266	word	Addio vado via	Tabé sáia pulá<i>ng</i>	TOBA_BATAK	Bar bówa bova	bar bówa bova	b a r # b ó w a # b o v a	b a r # b o w a # b o v a	bar bowa bova	J. S. A. Van Dissel	
41	266	word	Addio vado via	Tabé sáia pulá<i>ng</i>	ENGGANO	Teeó oacahána	teeó oacahána	t e e ó # o a c a h á n a	t e e o # o a k a h a n a	teeo oakahana		
42	266	word	Affamato	Lépar	NIAS	Olòfo	olòfo	o l ò f o	o l O f o	olOfo		
43	266	word	Affamato	Lépar	TOBA_BATAK	Male	male	m a l e	m a l e	male		
44	266	word	Affamato	Lépar	TOBA_BATAK	Tonga	tonga	t o n g a	t o n j a	tonja		
45	266	word	Affamato	Lépar	ENGGANO	Eabahágnia	eabahágnia	e a b a h á gn i a	e a b a h a ñ i a	eabahañia		
46	266	word	Affamato	Lépar	ENGGANO	Ecògnio	ecògnio	e c ò gn i o	e k O ñ i o	ekOñio		
47	266	word	Affilare	Menagiám ; Gossò	NIAS	Mondráli	mondráli	m o n d r á l i	m o n d r a l i	mondrali		
48	266	word	Affilare	Menagiám ; Gossò	TOBA_BATAK	Patadgiom	patadgiom	p a t a d gi o m	p a t a d c o m	patadcom		
49	266	word	Affilare	Menagiám ; Gossò	ENGGANO	Baia eèa	baia eèa	b ai a # e è a	b a:i a # e E a	ba:ia eEa		
50	266	word	Ago per reti e stuoie	Giárum gíari<i>ng</i>	NIAS				⁇	⁇		
51	266	word	Ago per reti e stuoie	Giárum gíari<i>ng</i>	TOBA_BATAK	Panut	panut	p a n u t	p a n u t	panut		
52	266	word	Ago per reti e stuoie	Giárum gíari<i>ng</i>	ENGGANO	Eparòpa	eparòpa	e p a r ò p a	e p a r O p a	eparOpa		
53	266	word	Agro	Asám	NIAS	Simai	simai	s i m ai	s i m a:i	sima:i		
54	266	word	Agro	Asám	TOBA_BATAK				⁇	⁇		
55	266	word	Agro	Asám	ENGGANO	Húche	húche	h ú ch e	h u k e	huke		
56	266	word	Aiutare	Tolò<i>ng</i>	NIAS	Folulúi	folulúi	f o l u l ú i	f o l u l u i	folului		
57	266	word	Aiutare	Tolò<i>ng</i>	TOBA_BATAK	Paingothon	paingothon	p ai n g o t h o n	p a:i n j o t h o n	pa:injothon		
58	266	word	Aiutare	Tolò<i>ng</i>	ENGGANO	Cuhái	cuhái	c u h á i	k u h a i	kuhai		
59	266	word	Ala	Saiáp	NIAS	Casafi	casafi	c a s a f i	k a s a f i	kasafi		
60	266	word	Ala	Saiáp	TOBA_BATAK	Habong	habong	h a b o n g	h a b o n j	habonj		
61	266	word	Ala	Saiáp	ENGGANO	Eápo cheèpa	eápo cheèpa	e á p o # ch e è p a	e a p o # k e E p a	eapo keEpa		
62	266	word	Albero	Pohún caiú	NIAS	T<i>o</i>laghéu	tolaghéu	t o l a g h é u	t o l a j h e u	tolajheu		
63	266	word	Albero	Pohún caiú	TOBA_BATAK	Batang	batang	b a t a n g	b a t a n j	batanj		
64	266	word	Albero	Pohún caiú	ENGGANO	Eiocúo	eiocúo	ei o c ú o	e:i o k u o	e:iokuo		
65	266	word	Albero	Pohún caiú	ENGGANO	Epúno ito	epúno ito	e p ú n o # i t o	e p u n o # i t o	epuno ito		
66	266	word	Albero di cocco	Pohún clapá	NIAS	Ohi	ohi	o h i	o h i	ohi		
67	266	word	Albero di cocco	Pohún clapá	TOBA_BATAK	Négiur	négiur	n é gi u r	n e c u r	necur	J. S. A. Van Dissel	
68	266	word	Albero di cocco	Pohún clapá	ENGGANO	Epúno pó	epúno pó	e p ú n o # p ó	e p u n o # p o	epuno po		
69	266	word	Al di qua	Sablá sini	NIAS	Tano andré	tano andré	t a n o # a n d r é	t a n o # a n d r e	tano andre		
70	266	word	Al di qua	Sablá sini	TOBA_BATAK	Di son	di son	d i # s o n	d i # s o n	di son	J. S. A. Van Dissel	
71	266	word	Al di qua	Sablá sini	ENGGANO	Mahatcè	mahatcè	m a h a t c è	m a h a t k E	mahatkE		
72	266	word	Al di là	Sablá sána	NIAS	Gièfo	gièfo	gi è f o	c E f o	cEfo		
73	266	word	Al di là	Sablá sána	TOBA_BATAK	Di adúwi	di adúwi	d i # a d ú w i	d i # a d u w i	di aduwi	J. S. A. Van Dissel	
74	266	word	Al di là	Sablá sána	ENGGANO	Maha io	maha io	m a h a # i o	m a h a # i o	maha io		
75	266	word	Aldisopra	Diatás	NIAS	Si ava	si ava	s i # a v a	s i # a v a	si ava		
76	266	word	Aldisopra	Diatás	TOBA_BATAK	Di atas	di atas	d i # a t a s	d i # a t a s	di atas	J. S. A. Van Dissel	
77	266	word	Aldisopra	Diatás	ENGGANO	Itcébe	itcébe	i t c é b e	i t k e b e	itkebe		
78	266	word	Allattare	Menúsu	NIAS	Di fèinu	di fèinu	d i # f è i n u	d i # f E i n u	di fEinu		
79	266	word	Allattare	Menúsu	TOBA_BATAK	Pa susu hon	pa susu hon	p a # s u s u # h o n	p a # s u s u # h o n	pa susu hon	J. S. A. Van Dissel	
80	266	word	Allattare	Menúsu	ENGGANO	Pecocòbu	pecocòbu	p e c o c ò b u	p e k o k O b u	pekokObu		
81	266	word	Alto	Tenghí	NIAS	Alawa	alawa	a l a w a	a l a w a	alawa		
82	266	word	Alto	Tenghí	TOBA_BATAK	Timbo	timbo	t i m b o	t i m b o	timbo		
83	266	word	Alto	Tenghí	ENGGANO	Tgiebè	tgiebè	tgi e b è	c e b E	cebE		
84	266	word	Alzare peso	Naèc	NIAS	Monooi	monooi	m o n o o i	m o n o o i	monooi		
85	266	word	Alzare peso	Naèc	TOBA_BATAK	Sihanti<i>ng</i>	sihanting	s i h a n t i n g	s i x a n t i n j	sixantinj		
86	266	word	Alzare peso	Naèc	ENGGANO	Balalát	balalát	b a l a l á t	b a l a l a t	balalat		
87	266	word	Alzarsi al mattino	Bangún	NIAS	Maóso sangahúlo wòngi	maóso sangahúlo wòngi	m aó s o # s a n g a h ú l o # w ò n gi	m a:o s o # s a n j a h u l o # w O n c	ma:oso sanjahulo wOnc		
