ID,PAGE,TYPE,ITALIAN,MALAY,NIAS,TOBA_BATAK,ENGGANO,MALAY_1,NIAS_1,TOBA_BATAK_1,ENGGANO_1,NIAS_1_rm,TOBA_BATAK_1_sem,TOBA_BATAK_1_rm,ENGGANO_1_sem,ENGGANO_1_rm,REMARK,TOBA_BATAK_SOURCE,nias_TOKEN,nias_TRANSLITERATED,nias_COMMON,toba_batak_TOKEN,toba_batak_TRANSLITERATED,toba_batak_COMMON,ENO_TOKEN,ENO_TRANSLITERATED,ENO_COMMON
1,266,word,Abbassare,Turún,Manada,Munduc,Paúho tópo,Turún,Manada,Munduc,Paúho tópo,,,,,,,J. S. A. Van Dissel,m a n a d a,m a n a d a,manada,m u n d u c,m u n d u k,munduk,p aú h o # t ó p o,p a:u h o # t o p o,pa:uho topo
2,266,word,Abbastanza,Sampé,Irugi,Siccop,Ho abacó,Sampé,Irugi,Siccop,Ho abacó,,,,,,,J. S. A. Van Dissel,i r u gi,i r u c,iruc,s i cc o p,s i k o p,sikop,h o # a b a c ó,h o # a b a k o,ho abako
3,266,word,Abbastanza (Non),Tida sampé,Loo irugi,Sowada siccop,Chèfe iabacó,Tida sampé,Loo irugi,Sowada siccop,Chèfe iabacó,,,,,,,J. S. A. Van Dissel,l o o # i r u gi,l o o # i r u c,loo iruc,s o w a d a # s i cc o p,s o w a d a # s i k o p,sowada sikop,ch è f e # i a b a c ó,k E f e # i a b a k o,kEfe iabako
4,266,word,Abitazione grande,Rúma besár,Banúa sebúa,Bagas na balga,Èuba,Rúma besár,Banúa sebúa,Bagas na balga,Èuba,,,,,,,,b a n ú a # s e b ú a,b a n u a # s e b u a,banua sebua,b a g a s # n a # b a l g a,b a j a s # n a # b a l j a,bajas na balja,è u b a,E u b a,Euba
5,266,word,Accanto,Decát,Ba<i>ng</i>ái,Giala,Panéna,Decát,Bangái,Giala,Panéna,,,,,,"GPWR--In Modigliani's table, certain sound segment(s) is italicised and through out this machine-readable form of the table I tag it for easing further computational processing.",,b a n g á i,b a n j a i,banjai,gi a l a,c a l a,cala,p a n é n a,p a n e n a,panena
6,266,word,"Accesso , piaga",Bárah,Fao sa,Cugang,Baro,Bárah,Fao sa,Cugang,Baro,,,,,,,,f ao # s a,f a:o # s a,fa:o sa,c u g a n g,k u j a n j,kujanj,b a r o,b a r o,baro
7,266,word,Accettare,Trimá,Tema halo,Mandgialo,Menaá,Trimá,Tema halo,Mandgialo,Menaá,,,,,,,J. S. A. Van Dissel,t e m a # h a l o,t e m a # h a l o,tema halo,m a n d gi a l o,m a n d c a l o,mandcalo,m e n a á,m e n a a,menaa
8,266,word,Accomodare,Membaíchi,Gama²,Mangundgiam,Paríe ecáua,Membaíchi,Gama²,Mangundgiam,Paríe ecáua,,,,,,,J. S. A. Van Dissel,g a m a ²,j a m a ²,jama²,m a n g u n d gi a m,m a n j u n d c a m,manjundcam,p a r í e # e c á u a,p a r i e # e k a u a,parie ekaua
9,266,word,Acqua,Aier,Idáno,Aec,Ebò,Aier,Idáno,Aec,Ebò,,,,,,,,i d á n o,i d a n o,idano,ae c,a:e k,a:ek,e b ò,e b O,ebO
10,266,word,Acqua mare,Aier laút,,"Aec ni tao<rm=""veramente acqua di lago perchè i Toba non hanno mare"">",Lebo²,Aier laút,,Aec ni tao,Lebo²,,,veramente acqua di lago perchè i Toba non hanno mare,,,,J. S. A. Van Dissel,,⁇,⁇,ae c # n i # t ao,a:e k # n i # t a:o,a:ek ni ta:o,l e b o ²,l e b o ²,lebo²
11,266,word,Acqua mare,Aier laút,,"Aec ni tao<rm=""veramente acqua di lago perchè i Toba non hanno mare"">",Eué,Aier laút,,Aec ni tao,Eué,,,veramente acqua di lago perchè i Toba non hanno mare,,,,J. S. A. Van Dissel,,⁇,⁇,ae c # n i # t ao,a:e k # n i # t a:o,a:ek ni ta:o,e u é,e u e,eue
12,266,word,Acquavite,Arrác,Sópi,"Tuwac<rm=""veramente vino di palma"">",Minu²,Arrác,Sópi,Tuwac,Minu²,,,veramente vino di palma,,,,J. S. A. Van Dissel,s ó p i,s o p i,sopi,t u w a c,t u w a k,tuwak,m i n u ²,m i n u ²,minu²
13,266,word,A destra,Sablá canán,Ba gambólo,Hipas,Epeèca,Sablá canán,Ba gambólo,Hipas,Epeèca,,,,,,"GPWR--When in the Toba-Batak side there are two words and one is marked with asterisk, like in this line, I include the asterisk and keep including the content of the TOBA-BATAK-SOURCE.",J. S. A. Van Dissel,b a # g a m b ó l o,b a # j a m b o l o,ba jambolo,h i p a s,h i p a s,hipas,e p e è c a,e p e E k a,epeEka
14,266,word,A destra,Sablá canán,Ba gambólo,Malo *,Epeèca,Sablá canán,Ba gambólo,Malo *,Epeèca,,,,,,"GPWR--When in the Toba-Batak side there are two words and one is marked with asterisk, like in this line, I include the asterisk and keep including the content of the TOBA-BATAK-SOURCE.",J. S. A. Van Dissel,b a # g a m b ó l o,b a # j a m b o l o,ba jambolo,m a l o # *,m a l o # *,malo *,e p e è c a,e p e E k a,epeEka
15,266,word,Addio vado via,Tabé sáia pulá<i>ng</i>,,Bar bówa bova,Teeó oacahána,Tabé sáia puláng,,Bar bówa bova,Teeó oacahána,,,,,,,J. S. A. Van Dissel,,⁇,⁇,b a r # b ó w a # b o v a,b a r # b o w a # b o v a,bar bowa bova,t e e ó # o a c a h á n a,t e e o # o a k a h a n a,teeo oakahana
16,266,word,Affamato,Lépar,Olòfo,Male,Eabahágnia,Lépar,Olòfo,Male,Eabahágnia,,,,,,,,o l ò f o,o l O f o,olOfo,m a l e,m a l e,male,e a b a h á gn i a,e a b a h a ñ i a,eabahañia
17,266,word,Affamato,Lépar,Olòfo,Male,Ecògnio,Lépar,Olòfo,Male,Ecògnio,,,,,,,,o l ò f o,o l O f o,olOfo,m a l e,m a l e,male,e c ò gn i o,e k O ñ i o,ekOñio
18,266,word,Affamato,Lépar,Olòfo,Tonga,Eabahágnia,Lépar,Olòfo,Tonga,Eabahágnia,,,,,,,,o l ò f o,o l O f o,olOfo,t o n g a,t o n j a,tonja,e a b a h á gn i a,e a b a h a ñ i a,eabahañia
19,266,word,Affamato,Lépar,Olòfo,Tonga,Ecògnio,Lépar,Olòfo,Tonga,Ecògnio,,,,,,,,o l ò f o,o l O f o,olOfo,t o n g a,t o n j a,tonja,e c ò gn i o,e k O ñ i o,ekOñio
20,266,word,Affilare,Menagiám,Mondráli,Patadgiom,Baia eèa,Menagiám,Mondráli,Patadgiom,Baia eèa,,,,,,,,m o n d r á l i,m o n d r a l i,mondrali,p a t a d gi o m,p a t a d c o m,patadcom,b ai a # e è a,b a:i a # e E a,ba:ia eEa
21,266,word,Affilare,Gossò,Mondráli,Patadgiom,Baia eèa,Gossò,Mondráli,Patadgiom,Baia eèa,,,,,,,,m o n d r á l i,m o n d r a l i,mondrali,p a t a d gi o m,p a t a d c o m,patadcom,b ai a # e è a,b a:i a # e E a,ba:ia eEa
22,266,word,Ago per reti e stuoie,Giárum gíari<i>ng</i>,,Panut,Eparòpa,Giárum gíaring,,Panut,Eparòpa,,,,,,,,,⁇,⁇,p a n u t,p a n u t,panut,e p a r ò p a,e p a r O p a,eparOpa
23,266,word,Agro,Asám,Simai,,Húche,Asám,Simai,,Húche,,,,,,,,s i m ai,s i m a:i,sima:i,,⁇,⁇,h ú ch e,h u k e,huke
24,266,word,Aiutare,Tolò<i>ng</i>,Folulúi,Paingothon,Cuhái,Tolòng,Folulúi,Paingothon,Cuhái,,,,,,,,f o l u l ú i,f o l u l u i,folului,p ai n g o t h o n,p a:i n j o t h o n,pa:injothon,c u h á i,k u h a i,kuhai
25,266,word,Ala,Saiáp,Casafi,Habong,Eápo cheèpa,Saiáp,Casafi,Habong,Eápo cheèpa,,,,,,,,c a s a f i,k a s a f i,kasafi,h a b o n g,h a b o n j,habonj,e á p o # ch e è p a,e a p o # k e E p a,eapo keEpa
26,266,word,Albero,Pohún caiú,T<i>o</i>laghéu,Batang,Eiocúo,Pohún caiú,Tolaghéu,Batang,Eiocúo,,,,,,,,t o l a g h é u,t o l a j h e u,tolajheu,b a t a n g,b a t a n j,batanj,ei o c ú o,e:i o k u o,e:iokuo
27,266,word,Albero,Pohún caiú,T<i>o</i>laghéu,Batang,Epúno ito,Pohún caiú,Tolaghéu,Batang,Epúno ito,,,,,,,,t o l a g h é u,t o l a j h e u,tolajheu,b a t a n g,b a t a n j,batanj,e p ú n o # i t o,e p u n o # i t o,epuno ito
28,266,word,Albero di cocco,Pohún clapá,Ohi,Négiur,Epúno pó,Pohún clapá,Ohi,Négiur,Epúno pó,,,,,,,J. S. A. Van Dissel,o h i,o h i,ohi,n é gi u r,n e c u r,necur,e p ú n o # p ó,e p u n o # p o,epuno po
29,266,word,Al di qua,Sablá sini,Tano andré,Di son,Mahatcè,Sablá sini,Tano andré,Di son,Mahatcè,,,,,,,J. S. A. Van Dissel,t a n o # a n d r é,t a n o # a n d r e,tano andre,d i # s o n,d i # s o n,di son,m a h a t c è,m a h a t k E,mahatkE
30,266,word,Al di là,Sablá sána,Gièfo,Di adúwi,Maha io,Sablá sána,Gièfo,Di adúwi,Maha io,,,,,,,J. S. A. Van Dissel,gi è f o,c E f o,cEfo,d i # a d ú w i,d i # a d u w i,di aduwi,m a h a # i o,m a h a # i o,maha io
31,266,word,Aldisopra,Diatás,Si ava,Di atas,Itcébe,Diatás,Si ava,Di atas,Itcébe,,,,,,,J. S. A. Van Dissel,s i # a v a,s i # a v a,si ava,d i # a t a s,d i # a t a s,di atas,i t c é b e,i t k e b e,itkebe
32,266,word,Allattare,Menúsu,Di fèinu,Pa susu hon,Pecocòbu,Menúsu,Di fèinu,Pa susu hon,Pecocòbu,,,,,,,J. S. A. Van Dissel,d i # f è i n u,d i # f E i n u,di fEinu,p a # s u s u # h o n,p a # s u s u # h o n,pa susu hon,p e c o c ò b u,p e k o k O b u,pekokObu
33,266,word,Alto,Tenghí,Alawa,Timbo,Tgiebè,Tenghí,Alawa,Timbo,Tgiebè,,,,,,,,a l a w a,a l a w a,alawa,t i m b o,t i m b o,timbo,tgi e b è,c e b E,cebE
34,266,word,Alzare peso,Naèc,Monooi,Sihanti<i>ng</i>,Balalát,Naèc,Monooi,Sihanting,Balalát,,,,,,,,m o n o o i,m o n o o i,monooi,s i h a n t i n g,s i x a n t i n j,sixantinj,b a l a l á t,b a l a l a t,balalat
35,266,word,Alzarsi al mattino,Bangún,Maóso sangahúlo wòngi,Tarsungul,Maénu,Bangún,Maóso sangahúlo wòngi,Tarsungul,Maénu,,,,,,,J. S. A. Van Dissel,m aó s o # s a n g a h ú l o # w ò n gi,m a:o s o # s a n j a h u l o # w O n c,ma:oso sanjahulo wOnc,t a r s u n g u l,t a r s u n j u l,tarsunjul,m aé n u,m a:e n u,ma:enu
36,266,word,Amare (d'amore),Beráhi,Omássidi,Manghasi,Cahapí,Beráhi,Omássidi,Manghasi,Cahapí,,,,,,,,o m á s s i d i,o m a s s i d i,omassidi,m a n g h a s i,m a n j h a s i,manjhasi,c a h a p í,k a h a p i,kahapi
37,266,word,Amaro,Páit,Afeto,Pait,Cadahóai,Páit,Afeto,Pait,Cadahóai,,,,,,,J. S. A. Van Dissel,a f e t o,a f e t o,afeto,p ai t,p a:i t,pa:it,c a d a h ó ai,k a d a h o a:i,kadahoa:i
38,266,word,Amico,Sóbat,Aw<i>o</i>,Ale²,Paano,Sóbat,Awo,Ale²,Paano,,,,,,,,a w o,a w o,awo,a l e ²,a l e ²,ale²,p a a n o,p a a n o,paano
39,266,word,Amico,Sóbat,Aw<i>o</i>,Ale²,Opahawo,Sóbat,Awo,Ale²,Opahawo,,,,,,,,a w o,a w o,awo,a l e ²,a l e ²,ale²,o p a h a w o,o p a h a w o,opahawo
