ID	PAGE	TYPE	ITALIAN	MALAY	NIAS	TOBA_BATAK	ENGGANO	MALAY_1	NIAS_1	TOBA_BATAK_1	ENGGANO_1	NIAS_1_rm	TOBA_BATAK_1_sem	TOBA_BATAK_1_rm	ENGGANO_1_sem	ENGGANO_1_rm	REMARK	TOBA_BATAK_SOURCE
1	266	word	Abbassare	Turún	Manada	Munduc	Paúho tópo	Turún	Manada	Munduc	Paúho tópo							J. S. A. Van Dissel
2	266	word	Abbastanza	Sampé	Irugi	Siccop	Ho abacó	Sampé	Irugi	Siccop	Ho abacó							J. S. A. Van Dissel
3	266	word	Abbastanza (Non)	Tida sampé	Loo irugi	Sowada siccop	Chèfe iabacó	Tida sampé	Loo irugi	Sowada siccop	Chèfe iabacó							J. S. A. Van Dissel
4	266	word	Abitazione grande	Rúma besár	Banúa sebúa	Bagas na balga	Èuba	Rúma besár	Banúa sebúa	Bagas na balga	Èuba							
5	266	word	Accanto	Decát	Ba<i>ng</i>ái	Giala	Panéna	Decát	Bangái	Giala	Panéna						GPWR--In Modigliani's table, certain sound segment(s) is italicised and through out this machine-readable form of the table I tag it for easing further computational processing.	
6	266	word	Accesso , piaga	Bárah	Fao sa	Cugang	Baro	Bárah	Fao sa	Cugang	Baro							
7	266	word	Accettare	Trimá	Tema halo	Mandgialo	Menaá	Trimá	Tema halo	Mandgialo	Menaá							J. S. A. Van Dissel
8	266	word	Accomodare	Membaíchi	Gama²	Mangundgiam	Paríe ecáua	Membaíchi	Gama²	Mangundgiam	Paríe ecáua							J. S. A. Van Dissel
9	266	word	Acqua	Aier	Idáno	Aec	Ebò	Aier	Idáno	Aec	Ebò							
10	266	word	Acqua mare	Aier laút		Aec ni tao<rm=""veramente acqua di lago perchè i Toba non hanno mare"">	Lebo²	Aier laút		Aec ni tao	Lebo²			veramente acqua di lago perchè i Toba non hanno mare				J. S. A. Van Dissel
11	266	word	Acqua mare	Aier laút		Aec ni tao<rm=""veramente acqua di lago perchè i Toba non hanno mare"">	Eué	Aier laút		Aec ni tao	Eué			veramente acqua di lago perchè i Toba non hanno mare				J. S. A. Van Dissel
12	266	word	Acquavite	Arrác	Sópi	Tuwac<rm=""veramente vino di palma"">	Minu²	Arrác	Sópi	Tuwac	Minu²			veramente vino di palma				J. S. A. Van Dissel
13	266	word	A destra	Sablá canán	Ba gambólo	Hipas	Epeèca	Sablá canán	Ba gambólo	Hipas	Epeèca						GPWR--When in the Toba-Batak side there are two words and one is marked with asterisk, like in this line, I include the asterisk and keep including the content of the TOBA-BATAK-SOURCE.	J. S. A. Van Dissel
