Left	Grapheme	Right	Class	Replacement
	tgi			c
	gi			c
	tg			c
	gn			ñ
	ae			a:e
	aè			a:e
	aé			a:e
	ai			a:i
	aí			a:i
	aì			a:i
	ei			e:i
	eí			e:i
	eì			e:i
	òí			o:i
	òì			o:i
	òi			o:i
	aò			a:O
	ao			a:o
	aó			a:o
	au̇			a:u
	aú			a:u
	aù			a:u
	au			a:u
	ou			o:u
	oú			o:u
	où			o:u
	ch	[iíìeéè]		k
	cc	[aàáoòóuúù]		k
	Ch	[aàáiíìeéè]		k
	c	[aàáoòóuúù]		k
	C	[aàáoòóuúù]		k
(ai)	h			x
(?<!a)i	h			x
	 			 
	\(			(
	\)			)
	\.			.
	;			;
	\[			[
	\]			]
	\?			?
	\’			'
	\'			'
	\*			*
	²			²
	a			a
	á			a
	à			a
	b			b
	c			k
	C			k
	d			d
	e			e
	é			e
	è			E
	È			E
	ə			ė
	f			f
	g			j
	h			h
	i			i
	j			j
	í			i
	ì			i
	k			k
	l			l
	m			m
	n			n
	o			o
	ɔ			ɔ
	ó			o
	ò			O
	p			p
	r			r
	s			s
	ſ			f
	t			t
	u			u
	v			v
	ú			u
	ù			u
	w			w
	z			z
