originals	tokenized	transliterated	transliterated_common
manada	m a n a d a	m a n a d a	manada
munduc	m u n d u c	m u n d u k	munduk
paúho tópo	p aú h o # t ó p o	p a:u h o # t o p o	pa:uho topo
irugi	i r u gi	i r u c	iruc
siccop	s i cc o p	s i k o p	sikop
ho abacó	h o # a b a c ó	h o # a b a k o	ho abako
loo irugi	l o o # i r u gi	l o o # i r u c	loo iruc
sowada siccop	s o w a d a # s i cc o p	s o w a d a # s i k o p	sowada sikop
chèfe iabacó	ch è f e # i a b a c ó	k E f e # i a b a k o	kEfe iabako
banúa sebúa	b a n ú a # s e b ú a	b a n u a # s e b u a	banua sebua
bagas na balga	b a g a s # n a # b a l g a	b a j a s # n a # b a l j a	bajas na balja
èuba	è u b a	E u b a	Euba
bangái	b a n g á i	b a n j a i	banjai
giala	gi a l a	c a l a	cala
panéna	p a n é n a	p a n e n a	panena
fao sa	f ao # s a	f a:o # s a	fa:o sa
cugang	c u g a n g	k u j a n j	kujanj
baro	b a r o	b a r o	baro
tema halo	t e m a # h a l o	t e m a # h a l o	tema halo
mandgialo	m a n d gi a l o	m a n d c a l o	mandcalo
menaá	m e n a á	m e n a a	menaa
gama²	g a m a ²	j a m a ²	jama²
mangundgiam	m a n g u n d gi a m	m a n j u n d c a m	manjundcam
paríe ecáua	p a r í e # e c á u a	p a r i e # e k a u a	parie ekaua
idáno	i d á n o	i d a n o	idano
aec	ae c	a:e k	a:ek
ebò	e b ò	e b O	ebO
		⁇	⁇
aec ni tao	ae c # n i # t ao	a:e k # n i # t a:o	a:ek ni ta:o
lebo²	l e b o ²	l e b o ²	lebo²
eué	e u é	e u e	eue
sópi	s ó p i	s o p i	sopi
tuwac	t u w a c	t u w a k	tuwak
minu²	m i n u ²	m i n u ²	minu²
ba gambólo	b a # g a m b ó l o	b a # j a m b o l o	ba jambolo
hipas	h i p a s	h i p a s	hipas
malo *	m a l o # *	m a l o # *	malo *
epeèca	e p e è c a	e p e E k a	epeEka
		⁇	⁇
bar bówa bova	b a r # b ó w a # b o v a	b a r # b o w a # b o v a	bar bowa bova
teeó oacahána	t e e ó # o a c a h á n a	t e e o # o a k a h a n a	teeo oakahana
olòfo	o l ò f o	o l O f o	olOfo
male	m a l e	m a l e	male
tonga	t o n g a	t o n j a	tonja
eabahágnia	e a b a h á gn i a	e a b a h a ñ i a	eabahañia
ecògnio	e c ò gn i o	e k O ñ i o	ekOñio
mondráli	m o n d r á l i	m o n d r a l i	mondrali
patadgiom	p a t a d gi o m	p a t a d c o m	patadcom
baia eèa	b ai a # e è a	b a:i a # e E a	ba:ia eEa
		⁇	⁇
panut	p a n u t	p a n u t	panut
eparòpa	e p a r ò p a	e p a r O p a	eparOpa
simai	s i m ai	s i m a:i	sima:i
		⁇	⁇
húche	h ú ch e	h u k e	huke
folulúi	f o l u l ú i	f o l u l u i	folului
paingothon	p ai n g o t h o n	p a:i n j o t h o n	pa:injothon
cuhái	c u h á i	k u h a i	kuhai
casafi	c a s a f i	k a s a f i	kasafi
habong	h a b o n g	h a b o n j	habonj
eápo cheèpa	e á p o # ch e è p a	e a p o # k e E p a	eapo keEpa
tolaghéu	t o l a g h é u	t o l a j h e u	tolajheu
batang	b a t a n g	b a t a n j	batanj
eiocúo	ei o c ú o	e:i o k u o	e:iokuo
epúno ito	e p ú n o # i t o	e p u n o # i t o	epuno ito
ohi	o h i	o h i	ohi
négiur	n é gi u r	n e c u r	necur
epúno pó	e p ú n o # p ó	e p u n o # p o	epuno po
tano andré	t a n o # a n d r é	t a n o # a n d r e	tano andre
di son	d i # s o n	d i # s o n	di son
mahatcè	m a h a t c è	m a h a t k E	mahatkE
gièfo	gi è f o	c E f o	cEfo
di adúwi	d i # a d ú w i	d i # a d u w i	di aduwi
maha io	m a h a # i o	m a h a # i o	maha io
si ava	s i # a v a	s i # a v a	si ava
di atas	d i # a t a s	d i # a t a s	di atas
itcébe	i t c é b e	i t k e b e	itkebe
di fèinu	d i # f è i n u	d i # f E i n u	di fEinu
pa susu hon	p a # s u s u # h o n	p a # s u s u # h o n	pa susu hon
pecocòbu	p e c o c ò b u	p e k o k O b u	pekokObu
alawa	a l a w a	a l a w a	alawa
timbo	t i m b o	t i m b o	timbo
tgiebè	tgi e b è	c e b E	cebE
monooi	m o n o o i	m o n o o i	monooi
sihanting	s i h a n t i n g	s i x a n t i n j	sixantinj
balalát	b a l a l á t	b a l a l a t	balalat
maóso sangahúlo wòngi	m aó s o # s a n g a h ú l o # w ò n gi	m a:o s o # s a n j a h u l o # w O n c	ma:oso sanjahulo wOnc
tarsungul	t a r s u n g u l	t a r s u n j u l	tarsunjul
maénu	m aé n u	m a:e n u	ma:enu
omássidi	o m á s s i d i	o m a s s i d i	omassidi
manghasi	m a n g h a s i	m a n j h a s i	manjhasi
cahapí	c a h a p í	k a h a p i	kahapi
afeto	a f e t o	a f e t o	afeto
pait	p ai t	p a:i t	pa:it
cadahóai	c a d a h ó ai	k a d a h o a:i	kadahoa:i
awo	a w o	a w o	awo
ale²	a l e ²	a l e ²	ale²
paano	p a a n o	p a a n o	paano
opahawo	o p a h a w o	o p a h a w o	opahawo
tobali mafócho	t o b a l i # m a f ó c h o	t o b a l i # m a f o k h o	tobali mafokho
malla	m a l l a	m a l l a	malla
cabapuho anòca	c a b a p u h o # a n ò c a	k a b a p u h o # a n O k a	kabapuho anOka
to	t o	t o	to
dape	d a p e	d a p e	dape
podo	p o d o	p o d o	podo
nuchi pecaia	n u ch i # p e c ai a	n u k i # p e k a:i a	nuki peka:ia
moi	m o i	m o i	moi
lao	l ao	l a:o	la:o
laho	l a h o	l a h o	laho
uacahai	u a c a h ai	u a k a h a:i	uakaha:i
uaha	u a h a	u a h a	uaha
moi malu	m o i # m a l u	m o i # m a l u	moi malu
