originals	ENO_TOKEN	ENO_TRANSLITERATED	ENO_COMMON
paúho tópo	p aú h o # t ó p o	p a:u h o # t o p o	pa:uho topo
ho abacó	h o # a b a c ó	h o # a b a k o	ho abako
chèfe iabacó	ch è f e # i a b a c ó	k E f e # i a b a k o	kEfe iabako
èuba	è u b a	E u b a	Euba
panéna	p a n é n a	p a n e n a	panena
baro	b a r o	b a r o	baro
menaá	m e n a á	m e n a a	menaa
paríe ecáua	p a r í e # e c á u a	p a r i e # e k a u a	parie ekaua
ebò	e b ò	e b O	ebO
lebo²	l e b o ²	l e b o ²	lebo²
eué	e u é	e u e	eue
minu²	m i n u ²	m i n u ²	minu²
epeèca	e p e è c a	e p e E k a	epeEka
epeèca	e p e è c a	e p e E k a	epeEka
teeó oacahána	t e e ó # o a c a h á n a	t e e o # o a k a h a n a	teeo oakahana
eabahágnia	e a b a h á gn i a	e a b a h a ñ i a	eabahañia
ecògnio	e c ò gn i o	e k O ñ i o	ekOñio
eabahágnia	e a b a h á gn i a	e a b a h a ñ i a	eabahañia
ecògnio	e c ò gn i o	e k O ñ i o	ekOñio
baia eèa	b ai a # e è a	b a:i a # e E a	ba:ia eEa
baia eèa	b ai a # e è a	b a:i a # e E a	ba:ia eEa
eparòpa	e p a r ò p a	e p a r O p a	eparOpa
húche	h ú ch e	h u k e	huke
cuhái	c u h á i	k u h a i	kuhai
eápo cheèpa	e á p o # ch e è p a	e a p o # k e E p a	eapo keEpa
eiocúo	ei o c ú o	e:i o k u o	e:iokuo
epúno ito	e p ú n o # i t o	e p u n o # i t o	epuno ito
epúno pó	e p ú n o # p ó	e p u n o # p o	epuno po
mahatcè	m a h a t c è	m a h a t k E	mahatkE
maha io	m a h a # i o	m a h a # i o	maha io
itcébe	i t c é b e	i t k e b e	itkebe
pecocòbu	p e c o c ò b u	p e k o k O b u	pekokObu
tgiebè	tgi e b è	c e b E	cebE
balalát	b a l a l á t	b a l a l a t	balalat
maénu	m aé n u	m a:e n u	ma:enu
cahapí	c a h a p í	k a h a p i	kahapi
cadahóai	c a d a h ó ai	k a d a h o a:i	kadahoa:i
