originals	nias_TOKEN	nias_TRANSLITERATED	nias_COMMON
manada	m a n a d a	m a n a d a	manada
irugi	i r u gi	i r u c	iruc
loo irugi	l o o # i r u gi	l o o # i r u c	loo iruc
banúa sebúa	b a n ú a # s e b ú a	b a n u a # s e b u a	banua sebua
bangái	b a n g á i	b a n j a i	banjai
fao sa	f ao # s a	f a:o # s a	fa:o sa
tema halo	t e m a # h a l o	t e m a # h a l o	tema halo
gama²	g a m a ²	j a m a ²	jama²
idáno	i d á n o	i d a n o	idano
		⁇	⁇
		⁇	⁇
sópi	s ó p i	s o p i	sopi
ba gambólo	b a # g a m b ó l o	b a # j a m b o l o	ba jambolo
ba gambólo	b a # g a m b ó l o	b a # j a m b o l o	ba jambolo
		⁇	⁇
olòfo	o l ò f o	o l O f o	olOfo
olòfo	o l ò f o	o l O f o	olOfo
olòfo	o l ò f o	o l O f o	olOfo
olòfo	o l ò f o	o l O f o	olOfo
mondráli	m o n d r á l i	m o n d r a l i	mondrali
mondráli	m o n d r á l i	m o n d r a l i	mondrali
		⁇	⁇
simai	s i m ai	s i m a:i	sima:i
folulúi	f o l u l ú i	f o l u l u i	folului
casafi	c a s a f i	k a s a f i	kasafi
tolaghéu	t o l a g h é u	t o l a j h e u	tolajheu
tolaghéu	t o l a g h é u	t o l a j h e u	tolajheu
ohi	o h i	o h i	ohi
tano andré	t a n o # a n d r é	t a n o # a n d r e	tano andre
gièfo	gi è f o	c E f o	cEfo
si ava	s i # a v a	s i # a v a	si ava
di fèinu	d i # f è i n u	d i # f E i n u	di fEinu
alawa	a l a w a	a l a w a	alawa
monooi	m o n o o i	m o n o o i	monooi
maóso sangahúlo wòngi	m aó s o # s a n g a h ú l o # w ò n gi	m a:o s o # s a n j a h u l o # w O n c	ma:oso sanjahulo wOnc
omássidi	o m á s s i d i	o m a s s i d i	omassidi
afeto	a f e t o	a f e t o	afeto
awo	a w o	a w o	awo
awo	a w o	a w o	awo
tobali mafócho	t o b a l i # m a f ó c h o	t o b a l i # m a f o k h o	tobali mafokho
to	t o	t o	to
to	t o	t o	to
moi	m o i	m o i	moi
moi	m o i	m o i	moi
moi	m o i	m o i	moi
moi	m o i	m o i	moi
moi malu	m o i # m a l u	m o i # m a l u	moi malu
mo cho banúa	m o # c h o # b a n ú a	m o # k h o # b a n u a	mo kho banua
moi moro	m o i # m o r o	m o i # m o r o	moi moro
mahalo	m a h a l o	m a h a l o	mahalo
menana	m e n a n a	m e n a n a	menana
mufano	m u f a n o	m u f a n o	mufano
mufano	m u f a n o	m u f a n o	mufano
leiduru	l ei d u r u	l e:i d u r u	le:iduru
saliwa liwa ba nidano	s a l i w a # l i w a # b a # n i d a n o	s a l i w a # l i w a # b a # n i d a n o	saliwa liwa ba nidano
saliwa liwa ba dano	s a l i w a # l i w a # b a # d a n o	s a l i w a # l i w a # b a # d a n o	saliwa liwa ba dano
furugo	f u r u g o	f u r u j o	furujo
furugo	f u r u g o	f u r u j o	furujo
dodo ide ide	d o d o # i d e # i d e	d o d o # i d e # i d e	dodo ide ide
turu mani	t u r u # m a n i	t u r u # m a n i	turu mani
		⁇	⁇
aleu	a l e u	a l e u	aleu
teboca	t e b o c a	t e b o k a	teboka
		⁇	⁇
lamanu	l a m a n u	l a m a n u	lamanu
lamanu	l a m a n u	l a m a n u	lamanu
lamanu	l a m a n u	l a m a n u	lamanu
lamanu	l a m a n u	l a m a n u	lamanu
nisala	n i s a l a	n i s a l a	nisala
fanunu manu	f a n u n u # m a n u	f a n u n u # m a n u	fanunu manu
laòho òho	l aò h o # ò h o	l a:O h o # O h o	la:Oho Oho
laòho òho	l aò h o # ò h o	l a:O h o # O h o	la:Oho Oho
ogòo	o g ò o	o j O o	ojOo
ba gabèra	b a # g a b è r a	b a # j a b E r a	ba jabEra
labalobalói	l a b a l o b a l ó i	l a b a l o b a l o i	labalobaloi
búnu	b ú n u	b u n u	bunu
bulu sago	b u l u # s a g o	b u l u # s a j o	bulu sajo
		⁇	⁇
		⁇	⁇
		⁇	⁇
		⁇	⁇
		⁇	⁇
so	s o	s o	so
		⁇	⁇
olófo	o l ó f o	o l o f o	olofo
dodo bucala	d o d o # b u c a l a	d o d o # b u k a l a	dodo bukala
dodo odufo dufo	d o d o # o d u f o # d u f o	d o d o # o d u f o # d u f o	dodo odufo dufo
fasóndra	f a s ó n d r a	f a s o n d r a	fasondra
fasóndra	f a s ó n d r a	f a s o n d r a	fasondra
agombáva	a g o m b á v a	a j o m b a v a	ajombava
bumbèwe	b u m b è w e	b u m b E w e	bumbEwe
bumbèwe	b u m b è w e	b u m b E w e	bumbEwe
fasoro	f a s o r o	f a s o r o	fasoro
mondri	m o n d r i	m o n d r i	mondri
ba’a vemóndri	b a ’ a # v e m ó n d r i	b a ' a # v e m o n d r i	ba'a vemondri
manari	m a n a r i	m a n a r i	manari
maulèia	m au l è i a	m a:u l E i a	ma:ulEia
iraòno	i r aò n o	i r a:O n o	ira:Ono
iraòno	i r aò n o	i r a:O n o	ira:Ono
léwu	l é w u	l e w u	lewu
cole²	c o l e ²	k o l e ²	kole²
cole²	c o l e ²	k o l e ²	kole²
bae	b ae	b a:e	ba:e
gozo	g o z o	j o z o	jozo
fatucao	f a t u c ao	f a t u k a:o	fatuka:o
		⁇	⁇
gambi	g a m b i	j a m b i	jambi
rongo	r o n g o	r o n j o	ronjo
dundráha	d u n d r á h a	d u n d r a h a	dundraha
owo solòio	o w o # s o l òi o	o w o # s o l o:i o	owo solo:io
noá	n o á	n o a	noa
tobono	t o b o n o	t o b o n o	tobono
sochi	s o ch i	s o k i	soki
famadu	f a m a d u	f a m a d u	famadu
afusi	a f u s i	a f u s i	afusi
bava	b a v a	b a v a	bava
aia mbulocha	ai a # m b u l o c h a	a:i a # m b u l o k h a	a:ia mbulokha
siu	s i u	s i u	siu
siu	s i u	s i u	siu
siu	s i u	s i u	siu
siu	s i u	s i u	siu
uhalo	u h a l o	u h a l o	uhalo
uhalo	u h a l o	u h a l o	uhalo
otu²	o t u ²	o t u ²	otu²
acògi	a c ò gi	a k O c	akOc
acògi	a c ò gi	a k O c	akOc
atunu	a t u n u	a t u n u	atunu
lo sochi	l o # s o ch i	l o # s o k i	lo soki
latogi	l a t o gi	l a t o c	latoc
agomigómi	a g o m i g ó m i	a j o m i j o m i	ajomijomi
sochi	s o ch i	s o k i	soki
		⁇	⁇
memòlo	m e m ò l o	m e m O l o	memOlo
memòlo	m e m ò l o	m e m O l o	memOlo
aèchu	aè c h u	a:e k h u	a:ekhu
aucu	au c u	a:u k u	a:uku
famoro salo	f a m o r o # s a l o	f a m o r o # s a l o	famoro salo
lala	l a l a	l a l a	lala
		⁇	⁇
		⁇	⁇
asso	a s s o	a s s o	asso
asso	a s s o	a s s o	asso
tòbu	t ò b u	t O b u	tObu
fanúno	f a n ú n o	f a n u n o	fanuno
bu	b u	b u	bu
bu	b u	b u	bu
dodo moi	d o d o # m o i	d o d o # m o i	dodo moi
lofo	l o f o	l o f o	lofo
nagòle	n a g ò l e	n a j O l e	najOle
ibua boli	i b u a # b o l i	i b u a # b o l i	ibua boli
omo	o m o	o m o	omo
omo	o m o	o m o	omo
lo sochi	l o # s o ch i	l o # s o k i	lo soki
fanáo	f a n á o	f a n a o	fanao
raga²	r a g a ²	r a j a ²	raja²
raga²	r a g a ²	r a j a ²	raja²
raga²	r a g a ²	r a j a ²	raja²
raga²	r a g a ²	r a j a ²	raja²
		⁇	⁇
fagaoni	f a g ao n i	f a j a:o n i	faja:oni
fanòfu	f a n ò f u	f a n O f u	fanOfu
abòto horo	a b ò t o # h o r o	a b O t o # h o r o	abOto horo
		⁇	⁇
		⁇	⁇
ohi	o h i	o h i	ohi
bánio	b á n i o	b a n i o	banio
bánio	b á n i o	b a n i o	banio
buáia	b u á i a	b u a i a	buaia
io	i o	i o	io
fonu	f o n u	f o n u	fonu
fonu	f o n u	f o n u	fonu
baghi	b a g h i	b a j h i	bajhi
