originals	toba_batak_TOKEN	toba_batak_TRANSLITERATED	toba_batak_COMMON
munduc	m u n d u c	m u n d u k	munduk
siccop	s i cc o p	s i k o p	sikop
sowada siccop	s o w a d a # s i cc o p	s o w a d a # s i k o p	sowada sikop
bagas na balga	b a g a s # n a # b a l g a	b a j a s # n a # b a l j a	bajas na balja
giala	gi a l a	c a l a	cala
cugang	c u g a n g	k u j a n j	kujanj
mandgialo	m a n d gi a l o	m a n d c a l o	mandcalo
mangundgiam	m a n g u n d gi a m	m a n j u n d c a m	manjundcam
aec	ae c	a:e k	a:ek
aec ni tao	ae c # n i # t ao	a:e k # n i # t a:o	a:ek ni ta:o
aec ni tao	ae c # n i # t ao	a:e k # n i # t a:o	a:ek ni ta:o
tuwac	t u w a c	t u w a k	tuwak
hipas	h i p a s	h i p a s	hipas
malo *	m a l o # *	m a l o # *	malo *
bar bówa bova	b a r # b ó w a # b o v a	b a r # b o w a # b o v a	bar bowa bova
male	m a l e	m a l e	male
male	m a l e	m a l e	male
tonga	t o n g a	t o n j a	tonja
tonga	t o n g a	t o n j a	tonja
patadgiom	p a t a d gi o m	p a t a d c o m	patadcom
patadgiom	p a t a d gi o m	p a t a d c o m	patadcom
panut	p a n u t	p a n u t	panut
		⁇	⁇
paingothon	p ai n g o t h o n	p a:i n j o t h o n	pa:injothon
habong	h a b o n g	h a b o n j	habonj
batang	b a t a n g	b a t a n j	batanj
batang	b a t a n g	b a t a n j	batanj
négiur	n é gi u r	n e c u r	necur
di son	d i # s o n	d i # s o n	di son
di adúwi	d i # a d ú w i	d i # a d u w i	di aduwi
di atas	d i # a t a s	d i # a t a s	di atas
pa susu hon	p a # s u s u # h o n	p a # s u s u # h o n	pa susu hon
timbo	t i m b o	t i m b o	timbo
sihanting	s i h a n t i n g	s i x a n t i n j	sixantinj
tarsungul	t a r s u n g u l	t a r s u n j u l	tarsunjul
manghasi	m a n g h a s i	m a n j h a s i	manjhasi
pait	p ai t	p a:i t	pa:it
ale²	a l e ²	a l e ²	ale²
ale²	a l e ²	a l e ²	ale²
malla	m a l l a	m a l l a	malla
dape	d a p e	d a p e	dape
podo	p o d o	p o d o	podo
lao	l ao	l a:o	la:o
lao	l ao	l a:o	la:o
laho	l a h o	l a h o	laho
laho	l a h o	l a h o	laho
marburu	m a r b u r u	m a r b u r u	marburu
lao tu bagas	l ao # t u # b a g a s	l a:o # t u # b a j a s	la:o tu bajas
lao modom	l ao # m o d o m	l a:o # m o d o m	la:o modom
mangalap	m a n g a l a p	m a n j a l a p	manjalap
		⁇	⁇
laho	l a h o	l a h o	laho
